facultad,grado,valor selectividad,año
Ciencias Sociales y Jurídicas,Criminología,10.161 ,2021-2022
Ciencias Sociales y Jurídicas,Derecho,5.996 ,2011-2012
Ciencias Sociales y Jurídicas,Derecho,7.830 ,2013-2014
Ciencias Sociales y Jurídicas,Derecho,7.762 ,2015-2016
Ciencias Sociales y Jurídicas,Derecho,8.696 ,2017-2018
Ciencias Sociales y Jurídicas,Derecho,8.274 ,2019-2020
Ciencias Sociales y Jurídicas,Derecho,8.457 ,2021-2022
Ciencias Sociales y Jurídicas,Economía,6.247 ,2011-2012
Ciencias Sociales y Jurídicas,Economía,6.000 ,2013-2014
Ciencias Sociales y Jurídicas,Economía,6.171 ,2015-2016
Ciencias Sociales y Jurídicas,Economía,7.385 ,2017-2018
Ciencias Sociales y Jurídicas,Economía,8.757 ,2019-2020
Ciencias Sociales y Jurídicas,Economía,7.193 ,2021-2022
Ciencias Sociales y Jurídicas,Educación Infantil,7.280 ,2011-2012
Ciencias Sociales y Jurídicas,Educación Infantil,7.473 ,2013-2014
Ciencias Sociales y Jurídicas,Educación Infantil,8.012 ,2015-2016
Ciencias Sociales y Jurídicas,Educación Infantil,8.383 ,2017-2018
Ciencias Sociales y Jurídicas,Educación Infantil,9.073 ,2019-2020
Ciencias Sociales y Jurídicas,Educación Infantil,10.23 ,2021-2022
Ciencias Sociales y Jurídicas,Educación Primaria,7.114 ,2011-2012
Ciencias Sociales y Jurídicas,Educación Primaria,7.484 ,2013-2014
Ciencias Sociales y Jurídicas,Educación Primaria,7.746 ,2015-2016
Ciencias Sociales y Jurídicas,Educación Primaria,8.452 ,2017-2018
Ciencias Sociales y Jurídicas,Educación Primaria,8.961 ,2019-2020
Ciencias Sociales y Jurídicas,Educación Primaria,10.2 ,2021-2022
Ciencias Sociales y Jurídicas,Educación Infantil ISEN,nan,2011-2012
Ciencias Sociales y Jurídicas,Educación Infantil ISEN,5 ,2013-2014
Ciencias Sociales y Jurídicas,Educación Infantil ISEN,5.13 ,2015-2016
Ciencias Sociales y Jurídicas,Educación Infantil ISEN,5.47 ,2017-2018
Ciencias Sociales y Jurídicas,Educación Infantil ISEN,5.18 ,2019-2020
Ciencias Sociales y Jurídicas,Educación Infantil ISEN,2.237 ,2021-2022
Ciencias Sociales y Jurídicas,Educación Primaria ISEN,5 ,2011-2012
Ciencias Sociales y Jurídicas,Educación Primaria ISEN,5.020 ,2013-2014
Ciencias Sociales y Jurídicas,Educación Primaria ISEN,5.175 ,2015-2016
Ciencias Sociales y Jurídicas,Educación Primaria ISEN,5 ,2017-2018
Ciencias Sociales y Jurídicas,Educación Primaria ISEN,7.25 ,2019-2020
Ciencias Sociales y Jurídicas,Educación Primaria ISEN,5.358 ,2021-2022
Ciencias Sociales y Jurídicas,Educación Social,6.893 ,2011-2012
Ciencias Sociales y Jurídicas,Educación Social,5.081 ,2013-2014
Ciencias Sociales y Jurídicas,Educación Social,8.167 ,2015-2016
Ciencias Sociales y Jurídicas,Educación Social,5.379 ,2017-2018
Ciencias Sociales y Jurídicas,Educación Social,6.3 ,2019-2020
Ciencias Sociales y Jurídicas,Educación Social,5 ,2021-2022
Ciencias Sociales y Jurídicas,Estudios de Comuniación y Medios Bachelor Communication and Media Studios,nan,2011-2012
Ciencias Sociales y Jurídicas,Estudios de Comuniación y Medios Bachelor Communication and Media Studios,nan,2013-2014
Ciencias Sociales y Jurídicas,Estudios de Comuniación y Medios Bachelor Communication and Media Studios,nan,2015-2016
Ciencias Sociales y Jurídicas,Estudios de Comuniación y Medios Bachelor Communication and Media Studios,nan,2017-2018
Ciencias Sociales y Jurídicas,Estudios de Comuniación y Medios Bachelor Communication and Media Studios,nan,2019-2020
Ciencias Sociales y Jurídicas,Estudios de Comuniación y Medios Bachelor Communication and Media Studios,nan,2021-2022
Ciencias Sociales y Jurídicas,Información y Documentación,6.150 ,2011-2012
Ciencias Sociales y Jurídicas,Información y Documentación,5.020 ,2013-2014
Ciencias Sociales y Jurídicas,Información y Documentación,5.138 ,2015-2016
Ciencias Sociales y Jurídicas,Información y Documentación,5.83 ,2017-2018
Ciencias Sociales y Jurídicas,Información y Documentación,5.244 ,2019-2020
Ciencias Sociales y Jurídicas,Información y Documentación,nan,2021-2022
Ciencias Sociales y Jurídicas,Gestión de Información y Contenidos Digitales,nan,2011-2012
Ciencias Sociales y Jurídicas,Gestión de Información y Contenidos Digitales,nan,2013-2014
Ciencias Sociales y Jurídicas,Gestión de Información y Contenidos Digitales,nan,2015-2016
Ciencias Sociales y Jurídicas,Gestión de Información y Contenidos Digitales,nan,2017-2018
Ciencias Sociales y Jurídicas,Gestión de Información y Contenidos Digitales,nan,2019-2020
Ciencias Sociales y Jurídicas,Gestión de Información y Contenidos Digitales,5.63 ,2021-2022
Ciencias Sociales y Jurídicas,Marketing,6.330 ,2011-2012
Ciencias Sociales y Jurídicas,Marketing,7.258 ,2013-2014
Ciencias Sociales y Jurídicas,Marketing,7.731 ,2015-2016
Ciencias Sociales y Jurídicas,Marketing,9.61 ,2017-2018
Ciencias Sociales y Jurídicas,Marketing,9.7 ,2019-2020
Ciencias Sociales y Jurídicas,Marketing,9.921 ,2021-2022
Ciencias Sociales y Jurídicas,Pedagogía,7.001 ,2011-2012
Ciencias Sociales y Jurídicas,Pedagogía,5 ,2013-2014
Ciencias Sociales y Jurídicas,Pedagogía,5.374 ,2015-2016
Ciencias Sociales y Jurídicas,Pedagogía,8.004 ,2017-2018
Ciencias Sociales y Jurídicas,Pedagogía,8.644 ,2019-2020
Ciencias Sociales y Jurídicas,Pedagogía,8.104 ,2021-2022
Ciencias Sociales y Jurídicas,Periodismo,7.720 ,2011-2012
Ciencias Sociales y Jurídicas,Periodismo,8.525 ,2013-2014
Ciencias Sociales y Jurídicas,Periodismo,8.647 ,2015-2016
Ciencias Sociales y Jurídicas,Periodismo,8.529 ,2017-2018
Ciencias Sociales y Jurídicas,Periodismo,8.642 ,2019-2020
Ciencias Sociales y Jurídicas,Periodismo,6.126 ,2021-2022
Ciencias Sociales y Jurídicas,Publicidad y Relaciones Públicas,6.479 ,2011-2012
Ciencias Sociales y Jurídicas,Publicidad y Relaciones Públicas,7.609 ,2013-2014
Ciencias Sociales y Jurídicas,Publicidad y Relaciones Públicas,7.33 ,2015-2016
Ciencias Sociales y Jurídicas,Publicidad y Relaciones Públicas,7.6 ,2017-2018
Ciencias Sociales y Jurídicas,Publicidad y Relaciones Públicas,8.699 ,2019-2020
Ciencias Sociales y Jurídicas,Publicidad y Relaciones Públicas,5.83 ,2021-2022
Ciencias Sociales y Jurídicas,Relaciones Internacionales,nan,2011-2012
Ciencias Sociales y Jurídicas,Relaciones Internacionales,nan,2013-2014
Ciencias Sociales y Jurídicas,Relaciones Internacionales,nan,2015-2016
Ciencias Sociales y Jurídicas,Relaciones Internacionales,nan,2017-2018
Ciencias Sociales y Jurídicas,Relaciones Internacionales,5.35 ,2019-2020
Ciencias Sociales y Jurídicas,Relaciones Internacionales,6.667 ,2021-2022
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH,5.361 ,2011-2012
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH,5 ,2013-2014
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH,5.081 ,2015-2016
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH,6.33 ,2017-2018
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH,5.144 ,2019-2020
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH,5.561 ,2021-2022
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH ISEN,5 ,2011-2012
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH ISEN,5 ,2013-2014
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH ISEN,5035,2015-2016
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH ISEN,nan,2017-2018
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH ISEN,nan,2019-2020
Ciencias Sociales y Jurídicas,Relaciones Laborales y RRHH ISEN,nan,2021-2022
Ciencias Sociales y Jurídicas,Seguridad ISEN,nan,2011-2012
Ciencias Sociales y Jurídicas,Seguridad ISEN,nan,2013-2014
Ciencias Sociales y Jurídicas,Seguridad ISEN,nan,2015-2016
Ciencias Sociales y Jurídicas,Seguridad ISEN,5.47 ,2017-2018
Ciencias Sociales y Jurídicas,Seguridad ISEN,5.597 ,2019-2020
Ciencias Sociales y Jurídicas,Seguridad ISEN,5.092 ,2021-2022
Ciencias Sociales y Jurídicas,Sociología,nan,2011-2012
Ciencias Sociales y Jurídicas,Sociología,nan,2013-2014
Ciencias Sociales y Jurídicas,Sociología,nan,2015-2016
Ciencias Sociales y Jurídicas,Sociología,5.65 ,2017-2018
Ciencias Sociales y Jurídicas,Sociología,6.709 ,2019-2020
Ciencias Sociales y Jurídicas,Sociología,7.43 ,2021-2022
Ciencias Sociales y Jurídicas,Terapia Ocupacional,nan,2011-2012
Ciencias Sociales y Jurídicas,Terapia Ocupacional,nan,2013-2014
Ciencias Sociales y Jurídicas,Terapia Ocupacional,nan,2015-2016
Ciencias Sociales y Jurídicas,Terapia Ocupacional,nan,2017-2018
Ciencias Sociales y Jurídicas,Terapia Ocupacional,nan,2019-2020
Ciencias Sociales y Jurídicas,Terapia Ocupacional,nan,2021-2022
Ciencias Sociales y Jurídicas,Trabajo Social,6.783 ,2011-2012
Ciencias Sociales y Jurídicas,Trabajo Social,5 ,2013-2014
Ciencias Sociales y Jurídicas,Trabajo Social,8.15 ,2015-2016
Ciencias Sociales y Jurídicas,Trabajo Social,8.245 ,2017-2018
Ciencias Sociales y Jurídicas,Trabajo Social,7.482 ,2019-2020
Ciencias Sociales y Jurídicas,Trabajo Social,5.56 ,2021-2022
Ciencias Sociales y Jurídicas,Turismo,5 ,2011-2012
Ciencias Sociales y Jurídicas,Turismo,5 ,2013-2014
Ciencias Sociales y Jurídicas,Turismo,5.044 ,2015-2016
Ciencias Sociales y Jurídicas,Turismo,5.29 ,2017-2018
Ciencias Sociales y Jurídicas,Turismo,5.372 ,2019-2020
Ciencias Sociales y Jurídicas,Turismo,5.03 ,2021-2022
Ciencias Sociales y Jurídicas,PCEO ADE y Derecho,9.146 ,2011-2012
Ciencias Sociales y Jurídicas,PCEO ADE y Derecho,10.380 ,2013-2014
Ciencias Sociales y Jurídicas,PCEO ADE y Derecho,9.273 ,2015-2016
Ciencias Sociales y Jurídicas,PCEO ADE y Derecho,8.696 ,2017-2018
Ciencias Sociales y Jurídicas,PCEO ADE y Derecho,10.846 ,2019-2020
Ciencias Sociales y Jurídicas,PCEO ADE y Derecho,11.739 ,2021-2022
Ciencias Sociales y Jurídicas,PCEO CAFD y Nutrición Humana y Dietética,nan,2011-2012
Ciencias Sociales y Jurídicas,PCEO CAFD y Nutrición Humana y Dietética,nan,2013-2014
Ciencias Sociales y Jurídicas,PCEO CAFD y Nutrición Humana y Dietética,nan,2015-2016
Ciencias Sociales y Jurídicas,PCEO CAFD y Nutrición Humana y Dietética,nan,2017-2018
Ciencias Sociales y Jurídicas,PCEO CAFD y Nutrición Humana y Dietética,nan,2019-2020
Ciencias Sociales y Jurídicas,PCEO CAFD y Nutrición Humana y Dietética,11.003 ,2021-2022
Ciencias Sociales y Jurídicas,PCEO Criminología y Seguridad,nan,2011-2012
Ciencias Sociales y Jurídicas,PCEO Criminología y Seguridad,nan,2013-2014
Ciencias Sociales y Jurídicas,PCEO Criminología y Seguridad,nan,2015-2016
Ciencias Sociales y Jurídicas,PCEO Criminología y Seguridad,nan,2017-2018
Ciencias Sociales y Jurídicas,PCEO Criminología y Seguridad,9.321 ,2019-2020
Ciencias Sociales y Jurídicas,PCEO Criminología y Seguridad,9.676 ,2021-2022
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria,nan,2011-2012
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria,nan,2013-2014
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria,nan,2015-2016
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria,nan,2017-2018
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria,11.649 ,2019-2020
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria,12.724 ,2021-2022
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria ISEN,nan,2011-2012
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria ISEN,nan,2013-2014
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria ISEN,nan,2015-2016
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria ISEN,nan,2017-2018
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria ISEN,nan,2019-2020
Ciencias Sociales y Jurídicas,PCEO Educación Infantil y Educación Primaria ISEN,7.932 ,2021-2022
Ciencias Sociales y Jurídicas,PCEO Educación Primariay CAFD,nan,2011-2012
Ciencias Sociales y Jurídicas,PCEO Educación Primariay CAFD,nan,2013-2014
Ciencias Sociales y Jurídicas,PCEO Educación Primariay CAFD,nan,2015-2016
Ciencias Sociales y Jurídicas,PCEO Educación Primariay CAFD,nan,2017-2018
Ciencias Sociales y Jurídicas,PCEO Educación Primariay CAFD,nan,2019-2020
Ciencias Sociales y Jurídicas,PCEO Educación Primariay CAFD,10.7 ,2021-2022
Ciencias Sociales y Jurídicas,PCEO Periodismo e Información y Documentación,nan,2011-2012
Ciencias Sociales y Jurídicas,PCEO Periodismo e Información y Documentación,nan,2013-2014
Ciencias Sociales y Jurídicas,PCEO Periodismo e Información y Documentación,7.293 ,2015-2016
Ciencias Sociales y Jurídicas,PCEO Periodismo e Información y Documentación,8.045 ,2017-2018
Ciencias Sociales y Jurídicas,PCEO Periodismo e Información y Documentación,8.967 ,2019-2020
Ciencias Sociales y Jurídicas,PCEO Periodismo e Información y Documentación,nan,2021-2022
Ciencias de la Salud,Enfermería Cartagena,8.576 ,2011-2012
Ciencias de la Salud,Enfermería Cartagena,9.710 ,2013-2014
Ciencias de la Salud,Enfermería Cartagena,10.059 ,2015-2016
Ciencias de la Salud,Enfermería Cartagena,9.541 ,2017-2018
Ciencias de la Salud,Enfermería Cartagena,9.786 ,2019-2020
Ciencias de la Salud,Enfermería Cartagena,11.602 ,2021-2022
Ciencias de la Salud,Enfermería Murcia,9.637 ,2011-2012
Ciencias de la Salud,Enfermería Murcia,10.053 ,2013-2014
Ciencias de la Salud,Enfermería Murcia,10.36 ,2015-2016
Ciencias de la Salud,Enfermería Murcia,10.421 ,2017-2018
Ciencias de la Salud,Enfermería Murcia,10.57 ,2019-2020
Ciencias de la Salud,Enfermería Murcia,12.088 ,2021-2022
Ciencias de la Salud,Enfermería Lorca,8.500 ,2011-2012
Ciencias de la Salud,Enfermería Lorca,9.330 ,2013-2014
Ciencias de la Salud,Enfermería Lorca,9.83 ,2015-2016
Ciencias de la Salud,Enfermería Lorca,8.817 ,2017-2018
Ciencias de la Salud,Enfermería Lorca,9.614 ,2019-2020
Ciencias de la Salud,Enfermería Lorca,11.534 ,2021-2022
Ciencias de la Salud,Farmacia,8.213 ,2011-2012
Ciencias de la Salud,Farmacia,10.057 ,2013-2014
Ciencias de la Salud,Farmacia,10.956 ,2015-2016
Ciencias de la Salud,Farmacia,11.082 ,2017-2018
Ciencias de la Salud,Farmacia,10.966 ,2019-2020
Ciencias de la Salud,Farmacia,11.766 ,2021-2022
Ciencias de la Salud,Fisioterapia,8.297 ,2011-2012
Ciencias de la Salud,Fisioterapia,9.467 ,2013-2014
Ciencias de la Salud,Fisioterapia,10.276 ,2015-2016
Ciencias de la Salud,Fisioterapia,9.62 ,2017-2018
Ciencias de la Salud,Fisioterapia,9.598 ,2019-2020
Ciencias de la Salud,Fisioterapia,11.084 ,2021-2022
Ciencias de la Salud,Logopedia,7.815 ,2011-2012
Ciencias de la Salud,Logopedia,5.945 ,2013-2014
Ciencias de la Salud,Logopedia,5.657 ,2015-2016
Ciencias de la Salud,Logopedia,8.4 ,2017-2018
Ciencias de la Salud,Logopedia,6.07 ,2019-2020
Ciencias de la Salud,Logopedia,6.6 ,2021-2022
Ciencias de la Salud,Medicina,11.987 ,2011-2012
Ciencias de la Salud,Medicina,12.348 ,2013-2014
Ciencias de la Salud,Medicina,12.661 ,2015-2016
Ciencias de la Salud,Medicina,12.819 ,2017-2018
Ciencias de la Salud,Medicina,12.644 ,2019-2020
Ciencias de la Salud,Medicina,13.345 ,2021-2022
Ciencias de la Salud,Nutrición Humana y Dietética,5.070 ,2011-2012
Ciencias de la Salud,Nutrición Humana y Dietética,5 ,2013-2014
Ciencias de la Salud,Nutrición Humana y Dietética,5.804 ,2015-2016
Ciencias de la Salud,Nutrición Humana y Dietética,6.6 ,2017-2018
Ciencias de la Salud,Nutrición Humana y Dietética,8.57 ,2019-2020
Ciencias de la Salud,Nutrición Humana y Dietética,6 ,2021-2022
Ciencias de la Salud,Odontología,10.821 ,2011-2012
Ciencias de la Salud,Odontología,11.398 ,2013-2014
Ciencias de la Salud,Odontología,11.629 ,2015-2016
Ciencias de la Salud,Odontología,11.619 ,2017-2018
Ciencias de la Salud,Odontología,11.52 ,2019-2020
Ciencias de la Salud,Odontología,12.66 ,2021-2022
Ciencias de la Salud,Óptica y Optometría,5.402 ,2011-2012
Ciencias de la Salud,Óptica y Optometría,5.249 ,2013-2014
Ciencias de la Salud,Óptica y Optometría,5.154 ,2015-2016
Ciencias de la Salud,Óptica y Optometría,5.436 ,2017-2018
Ciencias de la Salud,Óptica y Optometría,8.339 ,2019-2020
Ciencias de la Salud,Óptica y Optometría,5.839 ,2021-2022
Ciencias de la Salud,Psicología,6.955 ,2011-2012
Ciencias de la Salud,Psicología,7.422 ,2013-2014
Ciencias de la Salud,Psicología,8.357 ,2015-2016
Ciencias de la Salud,Psicología,7.848 ,2017-2018
Ciencias de la Salud,Psicología,9.199 ,2019-2020
Ciencias de la Salud,Psicología,10.736 ,2021-2022
Ciencias de la Salud,Veterinaria,9.172 ,2011-2012
Ciencias de la Salud,Veterinaria,10.165 ,2013-2014
